member,sample_name,phrase,mfcc_mean,mfcc_std,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,rms_mean,duration_sec
andrew,andrew_confirm_transaction,andrew_confirm_transaction,-19.134319305419922,113.86558532714844,1722.0773421446204,3830.0520833333335,0.105087890625,0.02494097128510475,4.7786875
andrew,andrew_confirm_transaction_pitch_shift,andrew_confirm_transaction,-22.534257888793945,120.46649169921875,1628.8126352306956,3670.9895833333335,0.09703450520833333,0.017329996451735497,4.7786875
andrew,andrew_confirm_transaction_time_stretch,andrew_confirm_transaction,-21.85648536682129,120.3635025024414,1794.471113963869,4128.102022058823,0.11026539522058823,0.015473593957722187,4.34425
andrew,andrew_confirm_transaction_background_noise,andrew_confirm_transaction,-11.666927005154628,57.16350146591769,3391.745225729884,6415.729166666667,0.36111328125,0.029490254819393158,4.7786875
andrew,andrew_yes_approve,andrew_yes_approve,-18.104494094848633,114.99403381347656,1827.5904286523573,4326.326438848921,0.10332593300359712,0.024570750072598457,4.437375
andrew,andrew_yes_approve_pitch_shift,andrew_yes_approve,-21.819381713867188,122.51451110839844,1714.540521053611,3965.6025179856115,0.10185055080935251,0.01538765523582697,4.437375
andrew,andrew_yes_approve_time_stretch,andrew_yes_approve,-20.860586166381836,122.22872924804688,1849.4033770557987,4420.398622047244,0.10736420398622047,0.017826469615101814,4.034
andrew,andrew_yes_approve_background_noise,andrew_yes_approve,-11.499721150955988,58.49384360090356,3495.903081292448,6429.013039568345,0.36604232239208634,0.029111050069332123,4.437375
divine,divine_confirm_transaction,divine_confirm_transaction,-22.410961151123047,113.05897521972656,1695.9518378631562,3522.0298423423424,0.1341893651463964,0.04415344446897507,3.5338125
divine,divine_confirm_transaction_pitch_shift,divine_confirm_transaction,-26.54266357421875,119.2020034790039,1758.2059123919148,3717.3423423423424,0.13066582207207209,0.029901999980211258,3.5338125
divine,divine_confirm_transaction_time_stretch,divine_confirm_transaction,-24.42688751220703,116.76629638671875,1706.0464632987548,3652.3824257425745,0.11945486540841584,0.030501844361424446,3.2125625
divine,divine_confirm_transaction_background_noise,divine_confirm_transaction,-13.487968774688989,54.18867904538454,3245.7202287857453,5911.036036036036,0.3527018229166667,0.049225836992263794,3.5338125
divine,divine_yes_approve,divine_yes_approve,-23.780723571777344,109.79875183105469,2202.1714566143255,4118.347772277228,0.19224261293316833,0.04866698384284973,3.2138125
divine,divine_yes_approve_pitch_shift,divine_yes_approve,-27.529314041137695,118.0467300415039,2315.8369427780317,4312.345297029703,0.20432878248762376,0.03312570974230766,3.2138125
divine,divine_yes_approve_time_stretch,divine_yes_approve,-25.718778610229492,117.50921630859375,2256.8447849252175,4135.529891304348,0.19866677989130435,0.03267564997076988,2.921625
divine,divine_yes_approve_background_noise,divine_yes_approve,-14.516859844856642,56.42379429332755,3411.672214536804,6041.769801980198,0.37797319771039606,0.05393042042851448,3.2138125
honour,honour_confirm_transaction,honour_confirm_transaction,-25.66691780090332,112.1485595703125,2116.19907413211,4041.0925196850394,0.1877575971948819,0.01661626435816288,4.053375
honour,honour_confirm_transaction_pitch_shift,honour_confirm_transaction,-28.687244415283203,118.25638580322266,2115.9005235715736,4218.196358267716,0.18234421136811024,0.012901087291538715,4.053375
honour,honour_confirm_transaction_time_stretch,honour_confirm_transaction,-28.145282745361328,119.93644714355469,2091.873534346774,4137.526939655172,0.17979694234913793,0.011582762002944946,3.684875
honour,honour_confirm_transaction_background_noise,honour_confirm_transaction,-15.466431474916977,58.02517758807087,3556.032102955823,6454.601377952756,0.4059616449311024,0.02270115539431572,4.053375
honour,honour_yes_approve,honour_yes_approve,-26.290023803710938,116.30436706542969,2312.1620009411577,4275.705645161291,0.23092027889784947,0.011837288737297058,2.965375
honour,honour_yes_approve_pitch_shift,honour_yes_approve,-28.877634048461914,123.08238220214844,2260.5994631383865,4275.201612903225,0.21142578125,0.007911564782261848,2.965375
honour,honour_yes_approve_time_stretch,honour_yes_approve,-28.100627899169922,124.71016693115234,2193.3382812775003,4142.1875,0.20151654411764705,0.008002681657671928,2.6958125
honour,honour_yes_approve_background_noise,honour_yes_approve,-16.00574554966488,59.607250032972765,3687.323638950423,6576.780913978495,0.4250882056451613,0.018270405009388924,2.965375
keane,keane_confirmation_transaction,keane_confirmation_transaction,-27.988235473632812,118.23990631103516,2290.3015362097194,4606.829353932584,0.17346602879213482,0.0067893429659307,2.838125
keane,keane_confirmation_transaction_pitch_shift,keane_confirmation_transaction,-32.616371154785156,125.52921295166016,2325.955300548083,4635.97261235955,0.18419724367977527,0.004675887059420347,2.838125
keane,keane_confirmation_transaction_time_stretch,keane_confirmation_transaction,-29.964786529541016,125.09925079345703,2306.488262960246,4725.8873456790125,0.17340012538580246,0.004482678137719631,2.580125
keane,keane_confirmation_transaction_background_noise,keane_confirmation_transaction,-16.918581765171265,60.45545001341008,3807.034026789188,6708.304073033708,0.4071113500702247,0.012943986803293228,2.838125
keane,keane_yes_approve,keane_yes_approve,-27.938880920410156,119.55970001220703,2698.2406194102914,5146.019345238095,0.23630487351190477,0.0077892797999084,2.6674375
keane,keane_yes_approve_pitch_shift,keane_yes_approve,-31.886211395263672,128.28286743164062,2522.773061185753,4946.521577380952,0.21967424665178573,0.0052482010796666145,2.6674375
keane,keane_yes_approve_time_stretch,keane_yes_approve,-30.524690628051758,126.6264877319336,2669.9882796193383,5122.2245065789475,0.23778011924342105,0.005828516557812691,2.4249375
keane,keane_yes_approve_background_noise,keane_yes_approve,-17.20315025331198,60.32511131366349,3804.3871435125684,6722.935267857143,0.40834844680059523,0.014009110629558563,2.6674375
